"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"C14","PA12","I/O","","","","TIM1_ETR","","LPUART1_DE/LPUART1_RTS","","I2S2_CK/SPI2_SCK","UART4_TX","USART1_DE/USART1_RTS","SAI2_FS_B","FDCAN1_TX","","","FMC_D0/FMC_DA0","","","EVENTOUT"
"C15","PA11","I/O","","","","TIM1_CH4","","LPUART1_CTS","","I2S2_WS/SPI2_NSS","UART4_RX","USART1_CTS/USART1_NSS","","FDCAN1_RX","","","FMC_D1/FMC_DA1","","","EVENTOUT"
"D1","PC15-OSC32_OUT(OSC32_OUT)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D2","PC14-OSC32_IN(OSC32_IN)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D3","VSS","Power","","","","","","","","","","","","","","","","","",""
"D4","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","","I2C1_SDA/I3C1_SDA","DCMIPP_D1","PSSI_RDY","USART1_RX","LPUART1_RX","PSSI_D1","","ETH_MII_TXD1/ETH_RMII_TXD1","FMC_SDCKE1","DCMIPP_VSYNC","UART5_TX","EVENTOUT"
"D5","PB4(NJTRST)","I/O","","","DEBUG_NJTRST","TIM16_BKIN","TIM3_CH1","LPTIM4_ETR","DCMIPP_VSYNC","I2S1_SDI/SPI1_MISO","I2S3_SDI/SPI3_MISO","I2S2_WS/SPI2_NSS","I2S6_SDI/SPI6_MISO","SDMMC2_D3","","UART7_TX","FMC_D13/FMC_DA13","","PSSI_RDY","EVENTOUT"
"D6","VSS","Power","","","","","","","","","","","","","","","","","",""
"D7","PD5","I/O","","","","TIM1_CH4N","","","","DCMIPP_PIXCLK","PSSI_PDCK","USART2_TX","","","FMC_NCE","","FMC_NE2","","","EVENTOUT"
"D8","DVDD","Power","","","","","","","","","","","","","","","","","",""
"D9","VDD50USB","Power","","","","","","","","","","","","","","","","","",""
"D10","PM0","I/O","","","","","","","","","UCPD1_CC1","","","","","","","","",""
"D11","PE15","I/O","","","","TIM1_BKIN","GFXTIM_LCKCAL","","","","","","","","","","FMC_SDCKE0","GFXTIM_FCKCAL","","EVENTOUT"
